Iterations,J_t
7520,0.062828744062225
7530,0.06282708476710087
7540,0.0628254311824212
7550,0.06282378320020826
7560,0.06282214071376929
7570,0.06282050361767968
7580,0.06281887180776195
7590,0.0628172451810685
7600,0.06281562363586246
7610,0.0628140070715994
7620,0.06281239538890981
7630,0.06281078848958056
7640,0.06280918627653732
7650,0.06280758865382736
7660,0.06280599552660153
7670,0.06280440680109803
7680,0.06280282238462409
7690,0.0628012421855405
7700,0.06279966611324415
7710,0.06279809407815147
7720,0.06279652599168283
7730,0.06279496176624581
7740,0.06279340131521909
7750,0.06279184455293735
7760,0.06279029139467512
7770,0.06278874175663146
7780,0.06278719555591444
7790,0.06278565271052658
7800,0.06278411313934912
7810,0.0627825767621279
7820,0.06278104349945801
7830,0.06277951327277001
7840,0.06277798600431506
7850,0.06277646161715074
7860,0.06277494003512737
7870,0.06277342118287368
7880,0.06277190498578325
7890,0.06277039137000127
7900,0.06276888026241009
7910,0.06276737159061707
7920,0.06276586528294033
7930,0.06276436126839677
7940,0.06276285947668804
7950,0.06276135983818873
7960,0.06275986228393325
7970,0.06275836674560333
7980,0.06275687315551573
7990,0.06275538144660991
8000,0.06275389155243632
8010,0.06275240340714355
8020,0.06275091694546733
8030,0.06274943210271836
8040,0.06274794881477057
8050,0.06274646701805
8060,0.06274498664952284
8070,0.06274350764668475
8080,0.06274202994754925
8090,0.06274055349063694
8100,0.06273907821496426
8110,0.06273760406003293
8120,0.06273613096581898
8130,0.0627346588727623
8140,0.06273318772175597
8150,0.062731717454136
8160,0.06273024801167071
8170,0.06272877933655065
8180,0.06272731137137884
8190,0.06272584405915993
8200,0.06272437734329073
8210,0.06272291116755069
8220,0.06272144547609124
8230,0.06271998021342705
8240,0.06271851532442538
8250,0.06271705075429775
8260,0.06271558644858963
8270,0.06271412235317161
8280,0.06271265841422956
8290,0.06271119457825593
8300,0.06270973079204052
8310,0.06270826700266134
8320,0.06270680315747575
8330,0.06270533920411131
8340,0.06270387509045736
8350,0.06270241076465582
8360,0.06270094617509284
8370,0.06269948127039
8380,0.06269801599939573
8390,0.06269655031117687
8400,0.06269508415501032
8410,0.06269361748037422
8420,0.06269215023694015
8430,0.06269068237456468
8440,0.06268921384328109
8450,0.06268774459329107
8460,0.0626862745749567
8470,0.06268480373879264
8480,0.06268333203545792
8490,0.06268185941574762
8500,0.0626803858305856
8510,0.06267891123101607
8520,0.06267743556819608
8530,0.06267595879338737
8540,0.06267448085794902
8550,0.06267300171332954
8560,0.06267152131105892
8570,0.06267003960274142
8580,0.06266855654004774
8590,0.06266707207470715
8600,0.06266558615850057
8610,0.06266409874325227
8620,0.06266260978082304
8630,0.06266111922310215
8640,0.06265962702200036
8650,0.06265813312944218
8660,0.0626566374973584
8670,0.06265514007767915
8680,0.06265364082232565
8690,0.06265213968320409
8700,0.06265063661219686
8710,0.06264913156115642
8720,0.06264762448189733
8730,0.06264611532618887
8740,0.06264460404574838
8750,0.06264309059223333
8760,0.06264157491723392
8770,0.06264005697226659
8780,0.06263853670876586
8790,0.06263701407807752
8800,0.0626354890314515
8810,0.06263396152003381
8820,0.06263243149486034
8830,0.06263089890684857
8840,0.0626293637067909
8850,0.06262782584534696
8860,0.06262628527303676
8870,0.06262474194023278
8880,0.062623195797153
8890,0.06262164679385339
8900,0.06262009488022094
8910,0.06261854000596534
8920,0.06261698212061276
8930,0.06261542117349761
8940,0.06261385711375507
8950,0.06261228989031419
8960,0.06261071945188991
8970,0.06260914574697597
8980,0.06260756872383676
8990,0.06260598833050009
9000,0.06260440451474966
9010,0.06260281722411742
9020,0.0626012264058755
9030,0.06259963200702902
9040,0.06259803397430794
9050,0.06259643225415953
9060,0.06259482679274057
9070,0.06259321753590898
9080,0.0625916044292165
9090,0.06258998741790042
9100,0.06258836644687563
9110,0.06258674146072665
9120,0.0625851124036992
9130,0.06258347921969253
9140,0.06258184185225074
9150,0.06258020024455485
9160,0.06257855433941416
9170,0.06257690407925798
9180,0.0625752494061273
9190,0.06257359026166623
9200,0.06257192658711308
9210,0.0625702583232922
9220,0.06256858541060506
9230,0.06256690778902134
9240,0.06256522539807005
9250,0.06256353817683077
9260,0.06256184606392479
9270,0.06256014899750555
9280,0.06255844691524966
9290,0.06255673975434789
9300,0.06255502745149542
9310,0.0625533099428829
9320,0.0625515871641863
9330,0.0625498590505579
9340,0.06254812553661651
9350,0.06254638655643717
9360,0.06254464204354172
9370,0.06254289193088897
